socname,soc.id,latitude,longitude,biome,subsistence,allomaternal,fathercare,fixity,storage,polygny,inheritance,pathogen,endstarve,shortstarve,seasonstarve,temp.mean,temp.var,temp.pred,precip.mean,precip.var,precip.pred
MISSING_Pomo_Eastern,SCCS135,39,-123,"Mediterranean Forests, Woodlands & Scrub",Gathering,2,3,3,2,2,7,7,2,2,5,14.3915143,15.66268573,0.6665679,63918.089,6496817890,0.4882418
Yokuts_Lake,SCCS136,35,-119.5,"Mediterranean Forests, Woodlands & Scrub",Gathering,2,3,3,2,2,,8,1,1,1,16.7334158,28.76947647,0.6188898,32750.645,2700143356,0.419393
Paiute_North,SCCS137,43.5,-119,Deserts & Xeric Shrublands,Gathering,3,3,2,1,3,1,7,3,2,5,6.5254135,77.45744578,0.5515266,57502.659,1405122767,0.6112465
MISSING_Klamath,SCCS138,42.63,-121.67,Temperate Conifer Forests,Fishing,2,3,2,1,4,1,8,2,2,3,7.6266236,49.63424628,0.5681314,133841.31,15025939486,0.5820812
MISSING_Kutenai,SCCS139,49,-116.67,Temperate Conifer Forests,Fishing,3,3,2,3,2,7,7,1,1,1,3.7215405,90.63468293,0.5392962,79176.668,2644522890,0.6268508
Hidatsa,SCCS141,47,-101,"Temperate Grasslands, Savannas & Shrublands",Intensive agriculture,3,2,3,2,5,7,7,,2,5,6.8193157,187.5572978,0.5088788,37897.458,766656465,0.6334813
MISSING_Omaha,SCCS143,41.43,-96.5,"Temperate Grasslands, Savannas & Shrublands",Two or more sources,3,3,3,2,4,7,7,,,,11.5336129,161.093025,0.5247709,53964.645,1387105739,0.6165696
Creek,SCCS145,32.93,-86,Temperate Broadleaf & Mixed Forests,Extensive agriculture,2,2,3,2,4,7,9,,,,16.3063216,56.28147902,0.6219066,104125.265,2746224264,0.6521241
Comanche,SCCS147,34,-101.5,"Temperate Grasslands, Savannas & Shrublands",Hunting,3,2,1,2,5,1,7,2,3,3,14.7524153,94.75370732,0.5686412,60381.725,1583535098,0.5753826
Chiricahua,SCCS148,32,-109.5,Deserts & Xeric Shrublands,Gathering,3,4,1,2,4,1,9,1,2,3,14.3942238,69.94469182,0.6059251,44151.732,1165794130,0.5198146
Zuni,SCCS149,35.67,-108.75,Deserts & Xeric Shrublands,Intensive agriculture,4,4,5,2,1,5,7,,2,3,9.8218942,102.5514047,0.5793196,41598.727,789133236,0.5558235
Havasupai,SCCS150,35.83,-112.17,Temperate Conifer Forests,Intensive agriculture,2,3,2,2,3,1,8,,2,3,12.197379,95.48394104,0.588109,39414.618,1623479162,0.4460646
Papago,SCCS151,32,-112,Deserts & Xeric Shrublands,Intensive agriculture,3,3,3,1,4,1,11,3,2,5,21.6480191,62.26395819,0.6146125,24749.74,704821052,0.4035318
Huichol,SCCS152,22,-105,Tropical & Subtropical Dry Broadleaf Forests,Extensive agriculture,2,4,5,3,3,5,12,,2,3,23.3096885,3.69404825,0.8014859,140587.693,16962515259,0.5895521
Quiche,SCCS155,15,-91,Tropical & Subtropical Coniferous Forests,Extensive agriculture,2,3,5,2,1,7,15,2,1,1,23.9288848,3.02717205,0.7776267,90766.666,9210797676,0.6761473
Miskito,SCCS156,15,-83,Mangroves,Gathering,2,4,5,1,3,,13,2,2,4,25.8824254,0.97778266,0.8564054,75804.738,3617435018,0.7151062
Cuna_Tule,SCCS158,9.25,-78.5,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,3,3,5,3,2,,13,1,3,,25.6332145,0.3460346,0.8448838,156628.372,21744630225,0.7542035
Goajiro,SCCS159,11.92,-71.75,Deserts & Xeric Shrublands,Pastoralism,3,3,1,3,5,2,16,,2,5,26.1300809,1.22491729,0.8584675,25502.396,690620975,0.695439
Haitians,SCCS160,18.83,-72.17,Tropical & Subtropical Moist Broadleaf Forests,Intensive agriculture,2,2,5,2,5,5,16,4,2,5,26.0276258,1.78221289,0.8365005,47850.058,1380097250,0.6548859
Callinago,SCCS161,15.41,-61.27,Tropical & Subtropical Moist Broadleaf Forests,Fishing,1,1,4,3,4,,17,1,,,25.5068284,1.41036712,0.85329,41612.623,1681700105,0.637897
Warrau,SCCS162,9.08,-62,Tropical & Subtropical Moist Broadleaf Forests,Gathering,2,4,2,1,5,,14,1,3,1,25.9856239,0.78284099,0.8339884,60798.893,2053100779,0.7760311
Yanomamo,SCCS163,2.42,-65,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,2,4,4,1,5,,13,,2,1,23.1813676,0.3519482,0.7939747,190459.49,18950462637,0.6920742
Saramacca,SCCS165,3.5,-55.75,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,2,1,5,2,5,3,14,2,2,3,24.8409506,1.81595168,0.7246819,98884.885,7982395717,0.7266873
Mundurucu,SCCS166,-6.5,-56.5,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,3,2,5,1,3,1,14,2,2,1,24.2449712,0.93374715,0.7858707,192012.623,20091075180,0.7316233
Cubeo_Tucano,SCCS167,1.25,-70.5,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,2,3,5,2,3,7,11,2,2,4,23.7144744,0.23064808,0.8083925,248037.871,8701186359,0.8168949
